frametime_ms,timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
0.0901,1759849362.5243828,20.5,29.8,40.0,49.0
0.0991,1759849362.5243828,20.5,29.8,40.0,49.0
0.0878,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0884,1759849362.5243828,20.5,29.8,40.0,49.0
0.0901,1759849362.5243828,20.5,29.8,40.0,49.0
0.089,1759849362.5243828,20.5,29.8,40.0,49.0
0.0889,1759849362.5243828,20.5,29.8,40.0,49.0
0.0895,1759849362.5243828,20.5,29.8,40.0,49.0
0.0983,1759849362.5243828,20.5,29.8,40.0,49.0
0.0928,1759849362.5243828,20.5,29.8,40.0,49.0
0.0956,1759849362.5243828,20.5,29.8,40.0,49.0
0.0912,1759849362.5243828,20.5,29.8,40.0,49.0
0.0936,1759849362.5243828,20.5,29.8,40.0,49.0
0.0978,1759849362.5243828,20.5,29.8,40.0,49.0
0.0894,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0988,1759849362.5243828,20.5,29.8,40.0,49.0
0.0867,1759849362.5243828,20.5,29.8,40.0,49.0
0.0888,1759849362.5243828,20.5,29.8,40.0,49.0
0.0889,1759849362.5243828,20.5,29.8,40.0,49.0
0.0904,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0887,1759849362.5243828,20.5,29.8,40.0,49.0
0.0889,1759849362.5243828,20.5,29.8,40.0,49.0
0.0976,1759849362.5243828,20.5,29.8,40.0,49.0
0.0918,1759849362.5243828,20.5,29.8,40.0,49.0
0.0951,1759849362.5243828,20.5,29.8,40.0,49.0
0.0945,1759849362.5243828,20.5,29.8,40.0,49.0
0.0895,1759849362.5243828,20.5,29.8,40.0,49.0
0.0924,1759849362.5243828,20.5,29.8,40.0,49.0
0.0905,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0998,1759849362.5243828,20.5,29.8,40.0,49.0
0.0902,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.1003,1759849362.5243828,20.5,29.8,40.0,49.0
0.0959,1759849362.5243828,20.5,29.8,40.0,49.0
0.0889,1759849362.5243828,20.5,29.8,40.0,49.0
0.0914,1759849362.5243828,20.5,29.8,40.0,49.0
0.0881,1759849362.5243828,20.5,29.8,40.0,49.0
0.0994,1759849362.5243828,20.5,29.8,40.0,49.0
0.0881,1759849362.5243828,20.5,29.8,40.0,49.0
0.0898,1759849362.5243828,20.5,29.8,40.0,49.0
0.0897,1759849362.5243828,20.5,29.8,40.0,49.0
0.0905,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0907,1759849362.5243828,20.5,29.8,40.0,49.0
0.0891,1759849362.5243828,20.5,29.8,40.0,49.0
0.0986,1759849362.5243828,20.5,29.8,40.0,49.0
0.0878,1759849362.5243828,20.5,29.8,40.0,49.0
0.0895,1759849362.5243828,20.5,29.8,40.0,49.0
0.0895,1759849362.5243828,20.5,29.8,40.0,49.0
0.0968,1759849362.5243828,20.5,29.8,40.0,49.0
0.0936,1759849362.5243828,20.5,29.8,40.0,49.0
0.0943,1759849362.5243828,20.5,29.8,40.0,49.0
0.0905,1759849362.5243828,20.5,29.8,40.0,49.0
0.1032,1759849362.5243828,20.5,29.8,40.0,49.0
0.0879,1759849362.5243828,20.5,29.8,40.0,49.0
0.0902,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0961,1759849362.5243828,20.5,29.8,40.0,49.0
0.0874,1759849362.5243828,20.5,29.8,40.0,49.0
0.0902,1759849362.5243828,20.5,29.8,40.0,49.0
0.097,1759849362.5243828,20.5,29.8,40.0,49.0
0.1013,1759849362.5243828,20.5,29.8,40.0,49.0
0.0873,1759849362.5243828,20.5,29.8,40.0,49.0
0.0888,1759849362.5243828,20.5,29.8,40.0,49.0
0.0885,1759849362.5243828,20.5,29.8,40.0,49.0
0.0967,1759849362.5243828,20.5,29.8,40.0,49.0
0.0879,1759849362.5243828,20.5,29.8,40.0,49.0
0.089,1759849362.5243828,20.5,29.8,40.0,49.0
0.0901,1759849362.5243828,20.5,29.8,40.0,49.0
0.0984,1759849362.5243828,20.5,29.8,40.0,49.0
0.0873,1759849362.5243828,20.5,29.8,40.0,49.0
0.0908,1759849362.5243828,20.5,29.8,40.0,49.0
0.0888,1759849362.5243828,20.5,29.8,40.0,49.0
0.0906,1759849362.5243828,20.5,29.8,40.0,49.0
0.0916,1759849362.5243828,20.5,29.8,40.0,49.0
0.098,1759849362.5243828,20.5,29.8,40.0,49.0
0.091,1759849362.5243828,20.5,29.8,40.0,49.0
0.1029,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0939,1759849362.5243828,20.5,29.8,40.0,49.0
0.0922,1759849362.5243828,20.5,29.8,40.0,49.0
0.0932,1759849362.5243828,20.5,29.8,40.0,49.0
0.0917,1759849362.5243828,20.5,29.8,40.0,49.0
0.095,1759849362.5243828,20.5,29.8,40.0,49.0
0.0921,1759849362.5243828,20.5,29.8,40.0,49.0
0.1024,1759849362.5243828,20.5,29.8,40.0,49.0
0.0987,1759849362.5243828,20.5,29.8,40.0,49.0
0.093,1759849362.5243828,20.5,29.8,40.0,49.0
0.0932,1759849362.5243828,20.5,29.8,40.0,49.0
0.0938,1759849362.5243828,20.5,29.8,40.0,49.0
0.0927,1759849362.5243828,20.5,29.8,40.0,49.0
0.0939,1759849362.5243828,20.5,29.8,40.0,49.0
0.091,1759849362.5243828,20.5,29.8,40.0,49.0
0.1027,1759849362.5243828,20.5,29.8,40.0,49.0
0.09,1759849362.5243828,20.5,29.8,40.0,49.0
0.1629,1759849362.5243828,20.5,29.8,40.0,49.0
0.0981,1759849362.5243828,20.5,29.8,40.0,49.0
0.1004,1759849362.5243828,20.5,29.8,40.0,49.0
0.1776,1759849362.5243828,20.5,29.8,40.0,49.0
0.1286,1759849362.5243828,20.5,29.8,40.0,49.0
0.0654,1759849362.5243828,20.5,29.8,40.0,49.0
0.1922,1759849362.5243828,20.5,29.8,40.0,49.0
0.1202,1759849362.5243828,20.5,29.8,40.0,49.0
0.1194,1759849362.5243828,20.5,29.8,40.0,49.0
0.0636,1759849362.5243828,20.5,29.8,40.0,49.0
0.1465,1759849362.5243828,20.5,29.8,40.0,49.0
0.146,1759849362.5243828,20.5,29.8,40.0,49.0
0.0919,1759849362.5243828,20.5,29.8,40.0,49.0
0.1629,1759849362.5243828,20.5,29.8,40.0,49.0
0.0934,1759849362.5243828,20.5,29.8,40.0,49.0
0.1479,1759849362.5243828,20.5,29.8,40.0,49.0
0.0648,1759849362.5243828,20.5,29.8,40.0,49.0
0.1823,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.1484,1759849362.5243828,20.5,29.8,40.0,49.0
0.0988,1759849362.5243828,20.5,29.8,40.0,49.0
0.0909,1759849362.5243828,20.5,29.8,40.0,49.0
0.1005,1759849362.5243828,20.5,29.8,40.0,49.0
0.0918,1759849362.5243828,20.5,29.8,40.0,49.0
0.0888,1759849362.5243828,20.5,29.8,40.0,49.0
0.0933,1759849362.5243828,20.5,29.8,40.0,49.0
0.088,1759849362.5243828,20.5,29.8,40.0,49.0
0.0882,1759849362.5243828,20.5,29.8,40.0,49.0
0.0921,1759849362.5243828,20.5,29.8,40.0,49.0
0.0872,1759849362.5243828,20.5,29.8,40.0,49.0
0.0999,1759849362.5243828,20.5,29.8,40.0,49.0
0.0904,1759849362.5243828,20.5,29.8,40.0,49.0
0.1235,1759849362.5243828,20.5,29.8,40.0,49.0
0.0784,1759849362.5243828,20.5,29.8,40.0,49.0
0.1093,1759849362.5243828,20.5,29.8,40.0,49.0
0.09,1759849362.5243828,20.5,29.8,40.0,49.0
0.0647,1759849362.5243828,20.5,29.8,40.0,49.0
0.1132,1759849362.5243828,20.5,29.8,40.0,49.0
0.1004,1759849362.5243828,20.5,29.8,40.0,49.0
0.0557,1759849362.5243828,20.5,29.8,40.0,49.0
0.1888,1759849362.5243828,20.5,29.8,40.0,49.0
0.1256,1759849362.5243828,20.5,29.8,40.0,49.0
0.0974,1759849362.5243828,20.5,29.8,40.0,49.0
0.075,1759849362.5243828,20.5,29.8,40.0,49.0
0.0891,1759849362.5243828,20.5,29.8,40.0,49.0
0.2131,1759849362.5243828,20.5,29.8,40.0,49.0
0.1423,1759849362.5243828,20.5,29.8,40.0,49.0
0.1033,1759849362.5243828,20.5,29.8,40.0,49.0
0.1128,1759849362.5243828,20.5,29.8,40.0,49.0
0.1078,1759849362.5243828,20.5,29.8,40.0,49.0
0.1098,1759849362.5243828,20.5,29.8,40.0,49.0
0.1075,1759849362.5243828,20.5,29.8,40.0,49.0
0.1142,1759849362.5243828,20.5,29.8,40.0,49.0
0.1089,1759849362.5243828,20.5,29.8,40.0,49.0
0.1205,1759849362.5243828,20.5,29.8,40.0,49.0
0.1093,1759849362.5243828,20.5,29.8,40.0,49.0
0.1085,1759849362.5243828,20.5,29.8,40.0,49.0
0.0879,1759849362.5243828,20.5,29.8,40.0,49.0
0.0906,1759849362.5243828,20.5,29.8,40.0,49.0
0.09,1759849362.5243828,20.5,29.8,40.0,49.0
0.0907,1759849362.5243828,20.5,29.8,40.0,49.0
0.088,1759849362.5243828,20.5,29.8,40.0,49.0
0.1109,1759849362.5243828,20.5,29.8,40.0,49.0
0.0858,1759849362.5243828,20.5,29.8,40.0,49.0
0.0898,1759849362.5243828,20.5,29.8,40.0,49.0
0.0885,1759849362.5243828,20.5,29.8,40.0,49.0
0.0887,1759849362.5243828,20.5,29.8,40.0,49.0
0.0948,1759849362.5243828,20.5,29.8,40.0,49.0
0.0886,1759849362.5243828,20.5,29.8,40.0,49.0
0.0886,1759849362.5243828,20.5,29.8,40.0,49.0
0.1039,1759849362.5243828,20.5,29.8,40.0,49.0
0.0917,1759849362.5243828,20.5,29.8,40.0,49.0
0.0919,1759849362.5243828,20.5,29.8,40.0,49.0
0.0888,1759849362.5243828,20.5,29.8,40.0,49.0
0.0952,1759849362.5243828,20.5,29.8,40.0,49.0
0.0933,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0887,1759849362.5243828,20.5,29.8,40.0,49.0
0.0984,1759849362.5243828,20.5,29.8,40.0,49.0
0.089,1759849362.5243828,20.5,29.8,40.0,49.0
0.0903,1759849362.5243828,20.5,29.8,40.0,49.0
0.0894,1759849362.5243828,20.5,29.8,40.0,49.0
0.0955,1759849362.5243828,20.5,29.8,40.0,49.0
0.0929,1759849362.5243828,20.5,29.8,40.0,49.0
0.1005,1759849362.5243828,20.5,29.8,40.0,49.0
0.088,1759849362.5243828,20.5,29.8,40.0,49.0
0.1043,1759849362.5243828,20.5,29.8,40.0,49.0
0.0877,1759849362.5243828,20.5,29.8,40.0,49.0
0.0906,1759849362.5243828,20.5,29.8,40.0,49.0
0.0954,1759849362.5243828,20.5,29.8,40.0,49.0
0.0876,1759849362.5243828,20.5,29.8,40.0,49.0
0.0884,1759849362.5243828,20.5,29.8,40.0,49.0
0.0898,1759849362.5243828,20.5,29.8,40.0,49.0
0.091,1759849362.5243828,20.5,29.8,40.0,49.0
0.0975,1759849362.5243828,20.5,29.8,40.0,49.0
0.0867,1759849362.5243828,20.5,29.8,40.0,49.0
0.0891,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0895,1759849362.5243828,20.5,29.8,40.0,49.0
0.0891,1759849362.5243828,20.5,29.8,40.0,49.0
0.0952,1759849362.5243828,20.5,29.8,40.0,49.0
0.0885,1759849362.5243828,20.5,29.8,40.0,49.0
0.0981,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0902,1759849362.5243828,20.5,29.8,40.0,49.0
0.089,1759849362.5243828,20.5,29.8,40.0,49.0
0.1035,1759849362.5243828,20.5,29.8,40.0,49.0
0.0949,1759849362.5243828,20.5,29.8,40.0,49.0
0.0901,1759849362.5243828,20.5,29.8,40.0,49.0
0.0901,1759849362.5243828,20.5,29.8,40.0,49.0
0.098,1759849362.5243828,20.5,29.8,40.0,49.0
0.0927,1759849362.5243828,20.5,29.8,40.0,49.0
0.0912,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0904,1759849362.5243828,20.5,29.8,40.0,49.0
0.0919,1759849362.5243828,20.5,29.8,40.0,49.0
0.0895,1759849362.5243828,20.5,29.8,40.0,49.0
0.0889,1759849362.5243828,20.5,29.8,40.0,49.0
0.0994,1759849362.5243828,20.5,29.8,40.0,49.0
0.0899,1759849362.5243828,20.5,29.8,40.0,49.0
0.0959,1759849362.5243828,20.5,29.8,40.0,49.0
0.0886,1759849362.5243828,20.5,29.8,40.0,49.0
0.0955,1759849362.5243828,20.5,29.8,40.0,49.0
0.0937,1759849362.5243828,20.5,29.8,40.0,49.0
0.0964,1759849362.5243828,20.5,29.8,40.0,49.0
0.0878,1759849362.5243828,20.5,29.8,40.0,49.0
0.0986,1759849362.5243828,20.5,29.8,40.0,49.0
0.0959,1759849362.5243828,20.5,29.8,40.0,49.0
0.0908,1759849362.5243828,20.5,29.8,40.0,49.0
0.0885,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0892,1759849362.5243828,20.5,29.8,40.0,49.0
0.0994,1759849362.5243828,20.5,29.8,40.0,49.0
0.088,1759849362.5243828,20.5,29.8,40.0,49.0
0.0898,1759849362.5243828,20.5,29.8,40.0,49.0
0.0983,1759849362.5243828,20.5,29.8,40.0,49.0
0.0916,1759849362.5243828,20.5,29.8,40.0,49.0
0.0928,1759849362.5243828,20.5,29.8,40.0,49.0
0.0941,1759849362.5243828,20.5,29.8,40.0,49.0
0.0919,1759849362.5243828,20.5,29.8,40.0,49.0
0.104,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.094,1759849362.5243828,20.5,29.8,40.0,49.0
0.0924,1759849362.5243828,20.5,29.8,40.0,49.0
0.0941,1759849362.5243828,20.5,29.8,40.0,49.0
0.0937,1759849362.5243828,20.5,29.8,40.0,49.0
0.0936,1759849362.5243828,20.5,29.8,40.0,49.0
0.0988,1759849362.5243828,20.5,29.8,40.0,49.0
0.1041,1759849362.5243828,20.5,29.8,40.0,49.0
0.0893,1759849362.5243828,20.5,29.8,40.0,49.0
0.0935,1759849362.5243828,20.5,29.8,40.0,49.0
0.0927,1759849362.5243828,20.5,29.8,40.0,49.0
0.0938,1759849362.5243828,20.5,29.8,40.0,49.0
0.0924,1759849362.5243828,20.5,29.8,40.0,49.0
0.0941,1759849362.5243828,20.5,29.8,40.0,49.0
0.0914,1759849362.5243828,20.5,29.8,40.0,49.0
0.1321,1759849362.5243828,20.5,29.8,40.0,49.0
0.1334,1759849362.5243828,20.5,29.8,40.0,49.0
0.1008,1759849362.5243828,20.5,29.8,40.0,49.0
0.0761,1759849362.5243828,20.5,29.8,40.0,49.0
